Username,Konten,Lokasi
VikohRofikoh,"""Tandanya, saya sangat menghormati Pak Heru, top of mind saya (itu) Pak Heru hari ini. (Pesan) WA (WhatsApp) istri saya (sampai) belum saya balas,"" lanjut dia (Ridwan Kamil).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Momen ini terjadi saat Emil, sapaan akrab Ridwan Kamil, dan Heru Budi menandatangani kesepakatan bersama soal dukungan pembangunan mass rapid transit (MRT) Fase 1-Stage 1 di Gedung Sate.
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"""Belum sarapan, Pak Heru. Mata saya ke Pak Heru terus. Jadi, di otak saya DKI, DKI, DKI, mohon maaf, Pak,"" tutur Ridwan Kamil.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Sebelum memberikan keterangan tersebut, Emil (Ridwan Kamil) padahal sempat salah menyebut jabatannya menjadi gubernur DKI Jakarta di hadapan Penjabat (Pj) Gubernur DKI Jakarta Heru Budi Hartono.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"""Enggak (berencana maju pilkada DKI 2024), kata siapa? Belum, belum,"" tuturnya di Gedung Sate, Bandung, Jawa Barat, Jumat (17/2/2023).

""(Tengah) fokus (bekerja) di Jawa Barat,"" sambung politisi Golkar itu (Ridwan Kamil).
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"Momen ini terjadi saat Emil, sapaan akrab Ridwan Kamil, dan Heru Budi menandatangani kesepakatan bersama soal dukungan pembangunan mass rapid transit (MRT) Fase 1-Stage 1 di Gedung Sate.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Gubernur Jawa Barat Ridwan Kamil mengaku belum berencana untuk maju dalam Pemilihan Kepala Daerah (Pilkada) DKI Jakarta 2024.

Emil, sapaan akrab Ridwan Kamil, mengaku kini hendak fokus bekerja di Jawa Barat.
#bersamajua","Central Borneo,Indonesia"
VikohRofikoh,"Sebelum memberikan keterangan tersebut, Emil (Ridwan Kamil) padahal sempat salah menyebut jabatannya menjadi gubernur DKI Jakarta di hadapan Penjabat (Pj) Gubernur DKI Jakarta Heru Budi Hartono.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"""Enggak (berencana maju pilkada DKI 2024), kata siapa? Belum, belum,"" tuturnya di Gedung Sate, Bandung, Jawa Barat, Jumat (17/2/2023).

""(Tengah) fokus (bekerja) di Jawa Barat,"" sambung politisi Golkar itu (Ridwan Kamil).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Gubernur Jawa Barat Ridwan Kamil mengaku belum berencana untuk maju dalam Pemilihan Kepala Daerah (Pilkada) DKI Jakarta 2024.

Emil, sapaan akrab Ridwan Kamil, mengaku kini hendak fokus bekerja di Jawa Barat.
#bersamajua","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Ditanya Soal Rencana Maju Pilkada DKI 2024, Ridwan Kamil: Fokus Jawa Barat
#BersamaJuara https://t.co/sDTGfMqNdR","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"“Ya jadi 4 prasastinya ditandatangani di sana, Pak Gubernur (Ridwan Kamil) mungkin hadir di dua titik ya, di Jalan KH. R Ma’mun Nawawi dan Alun-alun Setu,” terangnya usai memimpin rapat.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Dani menuturkan, peresmian tersebut akan dipimpin oleh Gubernur Jabar Ridwan Kamil sekaligus meresmikan Alun-alun Setu, Jembatan Cipamingkis, dan Taman Wisata di Pantai Bakti Kecamatan Muara Gembong.
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"“Ya jadi 4 prasastinya ditandatangani di sana, Pak Gubernur (Ridwan Kamil) mungkin hadir di dua titik ya, di Jalan KH. R Ma’mun Nawawi dan Alun-alun Setu,” terangnya usai memimpin rapat.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"“Kita akan fasilitasi dan mendorong penamaan jalan provinsi di ruas Cibarusah – Cikarang menjadi nama KH Ma’mun Nawawi, yang memang akan diusulkan menjadi pahlawan nasional dari Kabupaten Bekasi. Kita sangat setuju,” ungkap Ridwan Kamil.
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"Dani menuturkan, peresmian tersebut akan dipimpin oleh Gubernur Jabar Ridwan Kamil sekaligus meresmikan Alun-alun Setu, Jembatan Cipamingkis, dan Taman Wisata di Pantai Bakti Kecamatan Muara Gembong.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Pemda Provinsi Jabar berencana memberi nama jalan provinsi di ruas jalan Cibarusah – Cikarang dengan nama KH Ma’ mun Nawawi.

Ridwan Kamil menyampaikan pula dukungannya terhadap pengusulan tokoh asli Kabupaten Bekasi KH Ma’mun Nawawi menjadi pahlawan nasional.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Gagasan ini telah terencana bersama tahun lalu dan. Gubernur Provinsi Jawa Barat Ridwan Kamil Usai menghadiri Rapat Paripurna DPRD Kabupaten Bekasi dalam rangka HUT ke-72 Senin, (15/08/2022).
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"“Kita akan fasilitasi dan mendorong penamaan jalan provinsi di ruas Cibarusah – Cikarang menjadi nama KH Ma’mun Nawawi, yang memang akan diusulkan menjadi pahlawan nasional dari Kabupaten Bekasi. Kita sangat setuju,” ungkap Ridwan Kamil.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Pj Bupati Bekasi Dani Ramdan didampingi Asisten Daerah I dr Sri Enny Mainiarti memimpin rapat final seremoni peresmian nama Jalan KH. Raden Ma’mun Nawawi pada ruas jalan Cibarusah-Mekarmukti.
#BersamaJuara 
Ridwan Kamil
#bekasi 
#jabar","Central Borneo,Indonesia"
VikohRofikoh,"Pemda Provinsi Jabar berencana memberi nama jalan provinsi di ruas jalan Cibarusah – Cikarang dengan nama KH Ma’ mun Nawawi.

Ridwan Kamil menyampaikan pula dukungannya terhadap pengusulan tokoh asli Kabupaten Bekasi KH Ma’mun Nawawi menjadi pahlawan nasional.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"Ridwan Kamil Akan Resmikan Penamaan Jalan Provinsi Di Ruas Jalan Cibarusah-Mekarmukti Kabupaten Bekasi Menjadi Nama KH. Raden Ma’mun Nawawi
#BersamaJuara 
https://t.co/Bm1oh1VGpK https://t.co/SpX4fJjB9s","Central Borneo,Indonesia"
VikohRofikoh,"Gagasan ini telah terencana bersama tahun lalu dan. Gubernur Provinsi Jawa Barat Ridwan Kamil Usai menghadiri Rapat Paripurna DPRD Kabupaten Bekasi dalam rangka HUT ke-72 Senin, (15/08/2022).
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Pj Bupati Bekasi Dani Ramdan didampingi Asisten Daerah I dr Sri Enny Mainiarti memimpin rapat final seremoni peresmian nama Jalan KH. Raden Ma’mun Nawawi pada ruas jalan Cibarusah-Mekarmukti.
#BersamaJuara 
Ridwan Kamil
#bekasi 
#jabar","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Ridwan Kamil Akan Resmikan Penamaan Jalan Provinsi Di Ruas Jalan Cibarusah-Mekarmukti Kabupaten Bekasi Menjadi Nama KH. Raden Ma’mun Nawawi
#BersamaJuara 
https://t.co/WJ5IzbdtRK https://t.co/YOCBmRwWkP","Brebes, Jawa Tengah Indonesia"
dheaputrinabila,"“Yang biasanya dua jam hampir tiga jam, kita bisa on time hampir 40 menit,” terangnya.

“Transportasi itu tidak selalu yang utamanya mengangkut penumpang dan barang. Transportasi itu tujuannya juga membangun pusat pertumbuhan baru, tandas Ridwan Kamil.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Nantinya, ia (Ridwan Kamil) mengatakan bahwa KCJB akan mulai beroperasi di Stasiun Cawang, Halim, Jakarta Timur. Pemberhentian terakhir dari KCJB itu sendiri akan ada di pusat Kota Bandung. 
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"“Kereta api cepat perjanjiannya Juni masih on time,” ujar Ridwan Kamil kepada wartawan di Gedung Sate, Bandung, Jawa Barat.
#BersamaJuara","Central Borneo,Indonesia"
dheaputrinabila,"Gubernur Jawa Barat Ridwan Kamil (RK) membawa kabar baik. Ia memastikan bahwa rencana pengoperasian Kereta Cepat Jakarta Bandung (KCJB) akan on time pada Juni mendatang.
#BersamaJuara","Central Borneo,Indonesia"
VikohRofikoh,"“Yang biasanya dua jam hampir tiga jam, kita bisa on time hampir 40 menit,” terangnya.

“Transportasi itu tidak selalu yang utamanya mengangkut penumpang dan barang. Transportasi itu tujuannya juga membangun pusat pertumbuhan baru, tandas Ridwan Kamil.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Nantinya, ia (Ridwan Kamil) mengatakan bahwa KCJB akan mulai beroperasi di Stasiun Cawang, Halim, Jakarta Timur. Pemberhentian terakhir dari KCJB itu sendiri akan ada di pusat Kota Bandung. 
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"“Kereta api cepat perjanjiannya Juni masih on time,” ujar Ridwan Kamil kepada wartawan di Gedung Sate, Bandung, Jawa Barat.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Gubernur Jawa Barat Ridwan Kamil (RK) membawa kabar baik. Ia memastikan bahwa rencana pengoperasian Kereta Cepat Jakarta Bandung (KCJB) akan on time pada Juni mendatang.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Ridwan Kamil Pastikan Kereta Cepat Jakarta Bandung Beroperasi On Time
#BersamaJuara https://t.co/LOU7YY8ffd","Brebes, Jawa Tengah Indonesia"
viganov,@fazriealfikrie @sugara_satria @ridwankamil,"Bandung, Jawa Barat"
VikohRofikoh,"MRT Bekasi, Ridwan Kamil Berharap Warga Beralih ke Transportasi Massal 
#BersamaJuara https://t.co/5CoXhTpeHT","Brebes, Jawa Tengah Indonesia"
erickericericc,what do u expect from Ridwan Kamil? wkwkwkkwkww,"West Java, Indonesia"
dheaputrinabila,"Ridwan Kamil Dukung Usulan Inggit Garnasih Jadi Pahlawan Nasional
#BersamaJuara https://t.co/4Mz0Wjxr46","Central Borneo,Indonesia"
VikohRofikoh,"Ridwan Kamil Dukung Usulan Inggit Garnasih Jadi Pahlawan Nasional
#BersamaJuara https://t.co/pX12b9t848","Brebes, Jawa Tengah Indonesia"
TribunJabar_Id,"FAKTA LUCKY HAKIM YANG MENGEJUTKAN! DICARI RIDWAN KAMIL, NYOPIR SENDIRI ... https://t.co/bILeoB3hBi via @YouTube",Bandung
VikohRofikoh,"Dia menuturkan sangat antusias karena berniat membeberkan alasannya memilih resign kepada sang Gubernur.

""Jadi saya seneng banget alhamdulillah bapak Ridwan Kamil berkenan merespons tentang pengunduran diri saya ini,"" tutur Lucky Hakim.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Lucky Hakim mengaku langsung pergi ke Bandung setelah tahu dicari-cari Ridwan Kamil. 

""Tapi saya membaca berita di online, bapak mencari saya. Jadi saya langsung meluncur dari Jakarta ke Bandung,"" ucapnya.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
VikohRofikoh,"Artis Lucky Hakim membuat surat terbuka yang ditunjukkan kepada Gubernur Jawa Barat, Ridwan Kamil di Instagram.

Hal ini terjadi setelah Lucky Hakim memutuskan mengundurkan diri dari jabatan sebagai Wakil Bupati Indramayu.
#BersamaJuara","Brebes, Jawa Tengah Indonesia"
pojokpublik,bener banget #BersamaJuara #RidwanKamil,Indonesia
ravapurnomo,"@txtdaribandung Miris. Moga lekas diusut. Tuntas!

@disdik_bandung @disdik_jabar @humasbandung_ @humasjabar @ridwankamil","Bandung, Indonesia"
M_Zulfan_Z,"@Miduk17 Pilih Ridwan Kamil sebagai Presiden RI tahun 2024 nanti untuk Indonesia yang hebat, maju dan bersatu! Lalu pilih Heru Budi sebagai Gubernur Jakarta tahun 2024 nanti untuk Jakarta yang tanpa banjir dan tanpa macet!",SMS Only: 081388998480
pojokpublik,manteb sekali #BersamaJuara #RidwanKamil,Indonesia
alzaaja,"Dari  pada Ganjar,Anies &amp; Ridwan kamil.

Lebih baik Puan,Prabowo &amp; Airlangga mereka ga bisa di intervensi.
Semoga kalian ngerti maksud pernyataan ini.

Tapi ini jeli nya Nasdem dia buka kartu Anies yaudah https://t.co/jipRo32yk0",indonesia
mediaindonesia,"Capres potensial keempat ditempati Ridwan Kamil dengan 8,0 persen menggeser jauh AHY ke posisi kelima dengan perolehan 3,0 persen.  https://t.co/xAnXBOtm6h",Jakarta - Indonesia
MichaelNababani,"Anies dan Ridwan Kamil itu mirip-mirip kelakuannya., yang penting mendapat jabatan., Indonesia mau seperti apa  ngga penting bagi mereka.. https://t.co/HRP6AHofhY",Indonesia
adrianarukminto,"Ada juga netizen yang menilai jika Eril adalah sosok sholeh, sehingga kucing pun bisa menandainya. ""Kucing pun tahu yang ada di dalam kubur adalah jasadnya orang sholeh,"" nilai @noerinoy. #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,"""Kok bisa ya? Saya juga memperhatikan beberapa kali pas ada tayangan di makam A Eril kok selalu ada kucing putih belang ini. Semoga Allah terus menjaga almarhum di surgaNya dan menjaga kucing baik ini juga. Subhanallah,"" balas @taranuswantari. #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,"Tidak hanya Atalia, netizen pun dibuat kagum sekaligus penasaran dengan kucing belang yang setia berseliweran dan tidur di makam Eril. #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,"Pada slide berikutnya, Atalia menerangkan jika sosok Eril adalah penyayang kucing di masa hidupnya. ""Slide berikutnya.. Eril saat bersama British alias Euis kucing kesayangannya...,"" lanjutnya. #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,"""Tidak tahu mengapa, sejak jasad Eril bersemayam disana, kucing ini seolah selalu menemaninya. Al fatihah,"" tulis @ataliapr dalam keterangannya dikutip Suara Denpasar, Minggu (19/2/2023). #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,"Pada slide kedua dan ketiga, diposting foto Eril semasa masih hidup yang menggendong seekor kucing kesayangannya. #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,"Atalia memposting tiga foto, di antaranya saat kucing belang berwarna oranye dan putih sedang tidur di makam yang nisannya tertulis 'Emmeril Kahn Mumtadz bin Mochamad Ridwan Kamil'. #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,"Eril meninggal dunia di usianya yang menginjak 23 tahun. Delapan bulan pasca dimakamkan, terpotret ada seekor kucing belang yang disebut setia mendampingi Eril. Hal itu terlihat dalam unggahan foto sang ibunda, Atalia Praratya pada Minggu (19/2/2023). #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,"Emmeril Kahn Mumtadz alias Eril merupakan putra sulung dari Gubernur Jawa Barat, Ridwan Kamil dan Atalia Praratya. Perlu diketahui, pria kelahiran 25 Juni 1999 itu meninggal dunia akibat tenggelam di Sungai Aare, Bern, Swiss pada 26 Mei 2022. #BersamaJuara","Jakarta, Indonesia"
adrianarukminto,"Ternyata kucing tersebut selalu setia menunggu di dekat makam Eril. Kucing belang ini sejak awal pemakaman Eril hingga sekarang masuk hitungan 8 bulan, setia menemani almarhum di makamnya. #BersamaJuara Ridwan Kamil","Jakarta, Indonesia"
adrianarukminto,Netizen turut bersedih atas meninggalnya Emmeril Kahn Mumtadz alias Eril pada tahun lalu. Postingan foto mengenai kucing belang yang diunggah oleh sang ibu berhasil viral dan menarik perhatian netizen. #BersamaJuara Ridwan Kamil,"Jakarta, Indonesia"
adrianarukminto,"Viral Kucing Belang Setia Menunggu Makam Anak Ridwan Kamil, Netizen Dibuat Kagum
https://t.co/dv82TOogGO
#BersamaJuara","Jakarta, Indonesia"
neesannisaa,Pak @ridwankamil,"Jakarta Capital Region, Indone"
ini_nurach,@ridwankamil Setuju pak,
acep_cepy,"@jabarprovgoid @ridwankamil @PaUuRuzhanul @SWangsaatmaja Mohon di bantu pak gubernur,karena dampak pandemi corona ini kehidupan saya sangat sulit sekali.
Dampak pandemi corona:
1.usaha sy jd berhenti
2.Keluarga kena dampaknya
3.Anak anak juga kena dampaknya
4.Sulit sekali akses ke perbankan
Tolong bantu ?",bandung-indonesia
ibnu_AbdulManan,@ridwankamil,Indonesia Raya
PoetriRebec,"Untuk harga, kamu bisa makan dengan cukup kenyang di Toko Kue Lakker dengan harga Rp 2 ribu per kue sampai Rp 28 ribu. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Tak hanya kue basah, Toko Kue Lakker juga menyediakan berbagai menu kue kering yang wajib kamu cobain. Apalagi, toko ini sudah menjadi salah sati icon Jl. Braga karena telah berdiri sejak tahun 1986. #BersamaJuara Ridwan Kamil",
PoetriRebec,"3. Toko Kue Lakker - Tak jauh dari namanya, toko unik satu ini tentu memiliki menu andalan roti-rotian dan jajanan kecil lain dari tradisional hingga internasional. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Mahal nggak sih? Tenang, harga dari seluruh varian yang disediakan berkisar antara Rp 18 ribu hingga Rp 42 ribu saja. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Namun, bagi kamu yang suka kesegaran, ada varian lemon sorbet, mango hingga choco mint. Untuk varian best seller sejauh ini diraih oleh menu cookies &amp; cream, greentea dan choco mint. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Selain penampilannya yang cantik, ternyata pilihan menu varian Sweet Cantina juga beraneka ragam. Tidak hanya menyediakan rasa cokelat, vanilla dan strowberry. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Apalagi kabarnya, es krim ini menjadi favorit Ridwan Kamil juga loh. Kira-kira apa yang membedakan es krim ini dengan es krim lain? #BersamaJuara Ridwan Kamil",
PoetriRebec,2. Sweet Cantina - Siapa di sini yang suka banget sama es krim? Nah! Sweet Cantina bisa menjadi salah satu rekomendasi tempat yang wajib kamu coba! #BersamaJuara Ridwan Kamil,
PoetriRebec,"Sehingga, pengunjung bisa berforo ria di beberapa sudut ruangan yang sengaja dikonsep dengan berbagai gambar karakter Tahilalats sambil menikmati hidangan di bawah Rp 50 ribu. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Namun, sesuai dengan namanya, jika kamu tidak asing dengan komik Tahilalats di Webtoon maupun media sosial lain miliknya, maka gamabr-gambar lucu itu menjadi icon khas cafe ini. #BersamaJuara Ridwan Kamil",
PoetriRebec,Toko Tahilalats - Toko Tahilalats adalah sebuah cafe berkonsep unik yang menyediakan menu makanan serta minuman ringan ala restoran fast food. #BersamaJuara Ridwan Kamil,
PoetriRebec,"Berdasarkan pantauan dan pengalaman seorang traveller dan food blogger, melalui akun Tiktoknya @ai.damarisa, ia membagikan 3 tempat rekomendasi yang wajib dikunjungi saat berada di sekitar Jl. Braga, Bandung. #BersamaJuara Ridwan Kamil",
PoetriRebec,"3 Tempat Wajib Dikunjungi di Braga Bandung, No 2 Favorit Ridwan Kamil, Vibesnya Anak Muda Banget!
https://t.co/4uYRkbY0dQ
#BersamaJuara https://t.co/v31LAg40vz",
PoetriRebec,"Sedangkan di Jawa Barat sepanjang 20,43 kilometer yang akan melalui Medan Satria-Cikarang. ""Fase Dua diharapkan akan beroperasi di tahun 2033,"" kata Airlangga. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Fase Dua, yakni di Banten sepanjang 29,99 kilometer yang melalui Kembangan, Kelapa Dua, hingga Balaraja. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Sedangkan tingkatan dua sepanjang 9,23 kilometer yang melalui Tomang dan Kembangan. Fase Satu MRT Timur-Barat diharapkan dapat beroperasi pada 2031. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Sedangkan estimasi penumpang mencapai 1,2 juta per hari. Adapun Fase saytu akan terbagi lagi menjadi tingkatan satu sepanjang 24,52 kilometer yang akan melalui Tomang, Dukuh Atas, Senen, Perintis hingga Medan Satria. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Proyek MRT Timur-Barat terbagi menjadi dua fase, yakni Fase sat6u yang mencakup area DKI Jakarta dan Fase Dua yang meliputi Banten dan Jawa Barat dengan rencana penyediaan tiga depo operasional di MRT Timur-Barat. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Airlangga Hartanto menyebutkan, proyek itu mendapat dukungan pembiayaan dari Jepang sebagai investor utama senilai Rp160 triliun. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Sebelumnya, Menko Bidang Perekonomian Airlangga Hartarto menyebutkan, pembangunan MRT Timur-Barat dari Balaraja di Provinsi Banten-Cikarang di Kabupaten Bekasi, Jawa Barat, sepanjang 84,10 kilometer (km). #BersamaJuara Ridwan Kamil",
PoetriRebec,"Selain itu, peran dari pemerintah daerah untuk pembebasan lahan berjalan sesuai target. Namun, hingga saat ini pembebasan lahan dalam proses karena yang baru disepakati adalah trase. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Sementara itu, bentuk dukungan yang disepakati dua provinsi itu di antaranya menyiapkan dokumen penunjukan lokasi untuk memastikan legalitas dari pembangunan MRT dari Jakarta ke Kota Bekasi itu. #BersamaJuara Ridwan Kamil",
PoetriRebec,"""Angkanya belum bisa kami sampaikan karena masih dalam proses pemilihan lokasi yang nanti berkonsekuensi pada anggaran,"" katanya. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Demikian pula, Gubernur Jawa Barat Ridwan Kamil belum memberikan detail anggaran karena sedang dalam pembahasan. Namun dipastikan pemerintah daerah baik Pemprov DKI, Pemprov Jabar dan Pemkot Bekasi akan berkontribusi. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Namun, Heru menyebutkan, pembiayaan salah satunya bersumber dari pinjaman Badan Kerja Sama Internasional Jepang (JICA). ""Loan (pinjaman) pemerintah pusat, Pemda DKI dengan JICA,"" kata Heru. #BersamaJuara Ridwan Kamil",
PoetriRebec,Belum ada soal detail anggaran proyek MRT - Heru dan kang Emil belum memberikan detail pembiayaan untuk pembangunan proyek strategis itu. #BersamaJuara Ridwan Kamil,
PoetriRebec,"""Supaya ini cepat, kami komitmen dan nanti pada 2024 Insya Allah sudah mulai pembangunan,"" kata Penjabat Gubernur DKI Jakarta, Heru Budi Hartono di Bandung, Jawa Barat, Jumat, 17 Februari 2023. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Heru menandatangani kesepakatan itu dengan Gubernur Jawa Barat Ridwan Kamil dan Pelaksana Tugas (Plt) Wali Kota Bekasi Tri Adhianto di Gedung Sate, Bandung. #BersamaJuara Ridwan Kamil",
PoetriRebec,MRT fase satu ini merupakan bagian dari Koridor Timur-Barat (Cikarang-Jakarta-Balaraja). Proyek ini diproyeksikan mulai dibangun konstruksinya pada 2024. #BersamaJuara Ridwan Kamil,
PoetriRebec,"Penjabat Gubernur DKI Jakarta Heru Budi Hartono bersama Gubernur Jawa Barat Ridwan Kamil menandatangani kesepakatan MoU tentang dukungan Dukungan Pembangunan Rute MRT Fase Satu dari Tomang, Jakarta Barat, hingga Medan Satria di Kota Bekasi, Jawa Barat. #BersamaJuara",
PoetriRebec,"Heru Budi dan Ridwan Kamil MoU Proyek MRT Tomang-Medan Satria, Belum Ada Soal Detail Anggaran
https://t.co/ZkDOF2jXcr
#BersamaJuara",
PoetriRebec,"Mudah-mudahan keharmonisan gubernur dan Pak Wagub itu di contoh di level kota/kabupaten, betul butuh kebesaran hati,” kata dia. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Saya tidak pernah, dengan Pak Oded, dengan Pak Uu pede banget menjadi wakil gubernur saya, kan karena saya memberikan ruang-ruang kerja, anggaran yang membuat kiprah wakil saya itu merasa nyaman. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Kang Emil mengatakan, isu orang nomor satu dan nomor dua kerap menjadi dinamika. “Saya sebenarnya apa ya, merasa isu orang nomor satu dan dua ini selalu jadi dinamika. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Masa tidak bisa ada kebesaran hati masing-masing demi kepentingan rakyat Indramayu untuk mencari sebuah kesepakatan-kesepakatan politik teknis yang baik,” kata dia. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Suami Atalia Praratya itu menyayangkan jika terjadi konflik antara pasangan kepala daerah. “Kan prosesnya panjang untuk terpilih, itu mahal dan panjang sekali. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Gubernur Jawa Barat itu mengatakan, tim dari pemerintah provinsi sedang dikirim ke Indramayu untuk mencari informasi terkait kabar mundur tersebut. “Tim sedang meluncur ke Indramayu untuk memproses dulu di level pencari fakta dulu,” kata dia. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Kang Emil mengatakan, dirinya juga mendapat perintah dari Mendagri untuk mendamaikan jika memang benar terjadi konflik di antara bupati dan wakil bupati Indramayu. “Arahan Pak Mendagri kalau bisa didamaikan dengan sebuah musyawarah,” kata dia. #BersamaJuara Ridwan Kamil",
PoetriRebec,"“Rumornya begitu. Tapi saya harus tabayun karena harus dua versi, masing-masing punya cerita,” kata dia. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Kang Emil mengatakan, pemanggilan pada pasangan kepala daerah Indramayu tersebut untuk memastikan kabar beredar terjadinya konflik yang berujung permintaan mundur Lucky Hakim. #BersamaJuara Ridwan Kamil",
PoetriRebec,Kang Emil juga berencana memanggil Bupati Indramayu Nina Agustina terkait permintaan mundur wakilnya tersebut. #BersamaJuara Ridwan Kamil,
PoetriRebec,"Sejak kabar Lucky meminta mundur mencuat pada Rabu, 15 Februari 2023, Kang Emil sudah berencana memanggilnya untuk dimintai penjelasan atas kabar tersebut. #BersamaJuara Ridwan Kamil",
PoetriRebec,"“Izin pak mohon izin pak, mohon maaf pak, saya akan men DM nomor handphone saya ke Instagram nya pak Gubernur dan saya siap arahan berikutnya pak terima kasih. Wassalamu'alaikum Warahmatullahi Wabarokatuh,"" kata Lucky. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Baik dari asisten pribadi, ajudan maupun protokoler. Lucky yang sudah berada di Sukajadi, Bandung mengaku siap menunggu arahan Gubernur selanjutnya. #BersamaJuara Ridwan Kamil",
PoetriRebec,"Dalam video itu pun Lucky mengatakan alasannya yang lambat merespon panggilan Ridwan Kamil. Sebab, ia mengaku tidak mendapat fasilitas lengkap sebagai Wakil Bupati Indramayu. #BersamaJuara Ridwan Kamil",
PoetriRebec,Lucky mengungkapkan rasa senangnya dalam video lantaran persoalan pengunduran dirinya telah direspons Kang Emil. Lucky mengaku hanya 2 kali bertemu dengan Kang Emil selama ia menjabat sebagai Wakil Bupati Indramayu. #BersamaJuara Ridwan Kamil,
PoetriRebec,"Sebelumnya Ridwan Kamil mengatakan dia belum bisa menghubungi Lucky terkait soal pengunduran dirinya sebagai Wakil Bupati Indramayu karena susah dihubungi, sudah berkali-kali ajudan mengontak supaya segera menghadap karena perintah Mendagri, belum ada respons. #BersamaJuara",
PoetriRebec,"Lebih lanjut Lucky mengatakan, ""Tapi saya membaca di media online bapak mencari saya jadi dari Jakarta langsung meluncur ke Bandung pak, sekarang saya posisi ada di Bandung daerah Sukajadi,"" ucap Lucky. #BersamaJuara Ridwan Kamil",
PoetriRebec,"karena saya nggak tahu kalau menghubungi bapak lewat mana karena saya tidak punya nomor ajudan bapak dan saya juga tidak punya ajudan, protokoler ataupun aspri untuk bisa menghubungi ajudan bapak,"" kata Lucky di akun Instagram pribadinya. #BersamaJuara Ridwan Kamil",
